t,seq,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,mode_prev,d_pwm,d_err
3.673,32,13.6,1499,0,0.004,100,0.008,80,0.007,0.006,851,849,700,456,125,120,0,0,0,8.2,8,0,0,0,0,0,50,0,87.0,21.9
3.787,33,-12.5,1395,0,0.013,100,0.026,80,0.023,0.02,833,877,700,448,119,104,0,0,0,7.9,8,0,0,0,0,0,50,0,-104.0,-26.1
3.902,34,20.7,1528,0,0.037,100,0.073,80,0.066,0.058,838,869,700,429,122,117,0,0,0,8,8,0,0,0,0,0,50,0,133.0,33.2
4.017,35,1,1449,0,-0.027,100,-0.054,80,-0.048,-0.043,843,846,700,452,119,133,0,0,0,8.3,8,0,0,0,0,0,50,0,-79.0,-19.7
4.132,36,-6.7,1418,0,-0.01,100,-0.019,80,-0.018,-0.016,805,889,700,457,126,119,0,0,0,8.5,8,0,0,0,0,0,50,0,-31.0,-7.7
4.246,37,2.6,1455,0,-0.006,100,-0.013,80,-0.011,-0.01,845,851,700,454,119,112,0,0,0,8.8,8,0,0,0,0,0,50,0,37.0,9.3
4.361,38,-7.6,1415,0,0.04,100,0.08,80,0.072,0.064,863,852,700,441,119,126,0,0,0,8.6,8,0,0,0,0,0,50,0,-40.0,-10.2
4.476,39,-4.7,1426,0,-0.006,100,-0.011,80,-0.01,-0.009,844,853,700,448,111,126,0,0,0,8.1,8,0,0,0,0,0,50,0,11.0,2.9
4.591,40,-9.2,1408,0,0.014,100,0.029,80,0.026,0.023,888,842,700,451,119,108,0,0,0,7.9,8,0,0,0,0,0,50,0,-18.0,-4.5
4.705,41,5.5,1467,0,0.05,100,0.101,80,0.091,0.081,844,845,700,452,107,106,0,0,0,7.7,8,0,0,0,0,0,50,0,59.0,14.7
4.820,42,15.4,1506,0,-0.023,100,-0.045,80,-0.041,-0.036,877,888,700,454,139,116,0,0,0,7.8,8,0,0,0,0,0,50,0,39.0,9.9
4.935,43,-7.1,1417,0,-0.034,100,-0.068,80,-0.061,-0.054,851,887,700,442,111,112,0,0,0,8.1,8,0,0,0,0,0,50,0,-89.0,-22.5
5.050,44,3.5,1459,0,-0.005,100,-0.01,80,-0.009,-0.008,855,857,700,449,122,117,0,0,0,8,8,0,0,0,0,0,50,0,42.0,10.6
5.164,45,6,1469,0,0.047,100,0.094,80,0.084,0.075,865,851,700,453,100,103,0,0,0,7.6,8,0,0,0,0,0,50,0,10.0,2.5
5.279,46,10.3,1486,0,0.018,100,0.035,80,0.032,0.028,846,807,700,444,126,140,0,0,0,7.5,8,0,0,0,0,0,50,0,17.0,4.3
5.394,47,2.6,1455,0,-0.019,100,-0.039,80,-0.035,-0.031,821,849,700,440,121,106,0,0,0,7.6,8,0,0,0,0,0,50,0,-31.0,-7.7
5.509,48,13.3,1498,0,0.027,100,0.053,80,0.048,0.043,877,838,700,448,116,114,0,0,0,7.8,8,0,0,0,0,0,50,0,43.0,10.7
5.624,49,-15.6,1383,0,-0.036,100,-0.072,80,-0.065,-0.058,870,845,700,458,102,110,0,0,0,7.8,8,0,0,0,0,0,50,0,-115.0,-28.9
5.738,50,2.1,1453,0,0.01,100,0.02,80,0.018,0.016,841,876,700,440,110,126,0,0,0,7.9,8,0,0,0,0,0,50,0,70.0,17.7
5.853,51,5.6,1467,0,-0.047,100,-0.095,80,-0.085,-0.076,884,865,700,446,117,106,0,0,0,8.3,8,0,0,0,0,0,50,0,14.0,3.5
5.968,52,30.4,1567,0,-0.004,100,-0.009,80,-0.008,-0.007,890,834,700,436,116,127,0,0,0,8.3,8,0,0,0,0,0,50,0,100.0,24.8
6.083,53,-77.7,1170,1,-0.027,100,-0.055,80,-0.049,-0.044,858,824,700,449,114,109,0,0,0,8.1,8,0,0,0,0,0,0,0,-397.0,-108.1
6.197,54,-71.8,1170,1,-0.031,100,-0.062,80,-0.056,-0.049,818,849,700,450,113,108,0,0,0,7.7,8,0,0,0,0,0,0,1,0.0,5.9
6.312,55,-81,1170,1,-0.034,100,-0.069,80,-0.062,-0.055,887,831,700,443,125,116,0,0,0,7.7,8,0,0,0,0,0,0,1,0.0,-9.2
6.427,56,-88.8,1170,1,-0.038,100,-0.076,80,-0.068,-0.06,823,847,700,442,119,100,0,0,0,8,8,0,0,0,0,0,0,1,0.0,-7.8
6.542,57,-85.5,1170,1,-0.041,100,-0.082,80,-0.074,-0.066,805,849,700,441,112,106,0,0,0,7.6,8,0,0,0,0,0,0,1,0.0,3.3
6.656,58,-105.6,1170,1,-0.045,100,-0.089,80,-0.08,-0.072,832,865,700,442,107,99,0,0,0,7.8,8,0,0,0,0,0,0,1,0.0,-20.1
6.771,59,-103.4,1170,1,-0.048,100,-0.096,80,-0.087,-0.077,856,849,700,465,109,102,0,0,0,7.8,8,0,0,0,0,0,0,1,0.0,2.2
6.886,60,-117.6,1170,1,-0.052,100,-0.103,80,-0.093,-0.083,869,871,700,447,133,89,0,0,0,7.5,8,0,0,0,0,0,0,1,0.0,-14.2
7.001,61,-117.3,1170,1,-0.055,100,-0.11,80,-0.099,-0.088,876,823,700,442,133,126,0,0,0,7.2,8,0,0,0,0,0,0,1,0.0,0.3
7.115,62,-120.4,1170,1,-0.058,100,-0.117,80,-0.105,-0.094,803,840,700,449,108,117,0,0,0,7.3,8,0,0,0,0,0,0,1,0.0,-3.1
7.230,63,-131.5,1170,1,-0.062,100,-0.124,80,-0.111,-0.099,897,847,700,445,112,117,0,0,0,7.4,8,0,0,0,0,0,0,1,0.0,-11.1
7.345,64,-132,1170,1,-0.065,100,-0.131,80,-0.118,-0.105,847,856,700,442,117,112,0,0,0,7.3,8,0,0,0,0,0,0,1,0.0,-0.5
7.460,65,-146.4,1170,1,-0.069,100,-0.138,80,-0.124,-0.11,816,852,700,447,99,118,0,0,0,7.2,8,0,0,0,0,0,0,1,0.0,-14.4
7.575,66,-148.7,1170,1,-0.072,100,-0.144,80,-0.13,-0.116,839,841,700,445,120,105,0,0,0,7.3,8,0,0,0,0,0,0,1,0.0,-2.3
7.689,67,-141.6,1170,1,-0.076,100,-0.151,80,-0.136,-0.121,846,839,700,453,122,120,0,0,0,7,8,0,0,0,0,0,0,1,0.0,7.1
7.804,68,-147.7,1170,1,-0.079,100,-0.158,80,-0.142,-0.127,844,866,700,437,125,129,0,0,0,7.2,8,0,0,0,0,0,0,1,0.0,-6.1
7.919,69,-157.5,1170,1,-0.083,100,-0.165,80,-0.149,-0.132,811,874,700,453,105,105,0,0,0,6.7,8,0,0,0,0,0,0,1,0.0,-9.8
8.034,70,-500,1170,3,-0.076,100,-0.152,80,-0.137,-0.121,326,857,700,449,117,105,60,12,0,7.3,8,0,0,0,0,0,0,1,0.0,-342.5
8.148,71,-500,1170,3,-0.079,100,-0.157,80,-0.142,-0.126,315,853,700,449,127,123,60,12,0,7.2,8,0,0,0,0,0,0,3,0.0,0.0
8.263,72,-500,1170,3,-0.082,100,-0.163,80,-0.147,-0.131,285,859,700,454,119,121,60,12,0,6.9,8,0,0,0,0,0,0,3,0.0,0.0
8.378,73,-500,1170,3,-0.084,100,-0.169,80,-0.152,-0.135,266,828,700,457,123,111,60,12,0,7,8,0,0,0,0,0,0,3,0.0,0.0
8.493,74,-500,1170,3,-0.087,100,-0.175,80,-0.157,-0.14,308,847,700,463,131,121,60,12,0,7.3,8,0,0,0,0,0,0,3,0.0,0.0
8.607,75,-500,1170,3,-0.09,100,-0.18,80,-0.162,-0.144,314,849,700,448,119,119,60,12,0,7.9,8,0,0,0,0,0,0,3,0.0,0.0
8.722,76,-500,1170,3,-0.093,100,-0.186,80,-0.167,-0.149,297,826,700,456,130,102,60,12,0,7.9,8,0,0,0,0,0,0,3,0.0,0.0
8.837,77,-500,1170,3,-0.096,100,-0.192,80,-0.173,-0.153,316,812,700,453,115,128,60,12,0,8,8,0,0,0,0,0,0,3,0.0,0.0
8.952,78,-500,1170,3,-0.099,100,-0.198,80,-0.178,-0.158,303,829,700,455,122,108,60,12,0,7.8,8,0,0,0,0,0,0,3,0.0,0.0
9.067,79,-500,1170,3,-0.102,100,-0.203,80,-0.183,-0.163,293,834,700,467,139,118,60,12,0,8.2,8,0,0,0,0,0,0,3,0.0,0.0
9.181,80,-500,1170,3,-0.105,100,-0.209,80,-0.188,-0.167,302,826,700,443,103,103,60,12,0,8.2,8,0,0,0,0,0,0,3,0.0,0.0
9.296,81,-500,1170,3,-0.107,100,-0.215,80,-0.193,-0.172,309,855,700,453,111,114,60,12,0,8.1,8,0,0,0,0,0,0,3,0.0,0.0
9.411,82,-500,1170,3,-0.11,100,-0.221,80,-0.198,-0.176,295,832,700,455,104,107,60,12,0,8.1,8,0,0,0,0,0,0,3,0.0,0.0
9.526,83,-500,1170,3,-0.113,100,-0.226,80,-0.204,-0.181,311,847,700,448,116,130,60,12,0,8.6,8,0,0,0,0,0,0,3,0.0,0.0
9.640,84,-500,1170,3,-0.116,100,-0.232,80,-0.209,-0.186,326,898,700,455,99,124,60,12,0,8.6,8,0,0,0,0,0,0,3,0.0,0.0
9.755,85,-500,1170,3,-0.119,100,-0.238,80,-0.214,-0.19,275,841,700,444,116,111,60,12,0,8.6,8,0,0,0,0,0,0,3,0.0,0.0
9.870,86,-500,1170,3,-0.122,100,-0.243,80,-0.219,-0.195,317,856,700,450,101,109,60,12,0,9,8,0,0,0,0,0,0,3,0.0,0.0
9.985,87,-500,1170,3,-0.125,100,-0.249,80,-0.224,-0.199,305,800,700,452,118,114,60,12,0,8.5,8,0,0,0,0,0,0,3,0.0,0.0
10.099,88,-500,1170,3,-0.127,100,-0.255,80,-0.229,-0.204,300,808,700,465,133,125,60,12,0,8.9,8,0,0,0,0,0,0,3,0.0,0.0
10.214,89,-500,1170,3,-0.13,100,-0.261,80,-0.235,-0.209,296,848,700,446,119,107,60,12,0,8.8,8,0,0,0,0,0,0,3,0.0,0.0
10.329,90,-500,1170,3,-0.133,100,-0.266,80,-0.24,-0.213,308,844,700,441,117,127,60,12,0,8.8,8,0,0,0,0,0,0,3,0.0,0.0
10.444,91,-500,1170,3,-0.136,100,-0.272,80,-0.245,-0.218,301,833,700,461,100,111,60,12,0,8.6,8,0,0,0,0,0,0,3,0.0,0.0
10.558,92,-500,1170,3,-0.139,100,-0.278,80,-0.25,-0.222,276,885,700,447,113,123,60,12,0,8.7,8,0,0,0,0,0,0,3,0.0,0.0
10.673,93,-500,1170,3,-0.142,100,-0.284,80,-0.255,-0.227,290,813,700,452,135,116,60,12,0,8.7,8,0,0,0,0,0,0,3,0.0,0.0
10.788,94,-500,1170,3,-0.145,100,-0.289,80,-0.26,-0.232,307,820,700,434,126,116,60,12,0,8.4,8,0,0,0,0,0,0,3,0.0,0.0
10.903,95,-500,1170,3,-0.148,100,-0.295,80,-0.266,-0.236,319,851,700,453,124,103,60,12,0,8.5,8,0,0,0,0,0,0,3,0.0,0.0
11.018,96,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,290,816,700,440,102,115,60,12,0,8.4,8,1,0,0,0,0,0,3,0.0,150.0
11.132,97,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,277,834,700,449,129,143,60,12,0,8.2,8,1,0,0,0,0,0,8,0.0,0.0
11.247,98,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,256,870,700,449,110,108,60,12,0,8,8,1,0,0,0,0,0,8,0.0,0.0
11.362,99,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,272,840,700,435,115,125,60,12,0,8,8,1,0,0,0,0,0,8,0.0,0.0
11.477,100,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,263,866,700,443,134,120,60,12,0,7.7,8,1,0,0,0,0,0,8,0.0,0.0
11.591,101,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,268,835,700,456,114,117,60,12,0,8.4,8,1,0,0,0,0,0,8,0.0,0.0
11.706,102,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,267,806,700,450,133,121,60,12,0,8.3,8,1,0,0,0,0,0,8,0.0,0.0
11.821,103,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,279,902,700,451,137,108,60,12,0,8.3,8,1,0,0,0,0,0,8,0.0,0.0
11.936,104,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,274,839,700,450,118,106,60,12,0,8.2,8,1,0,0,0,0,0,8,0.0,0.0
12.050,105,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,278,844,700,451,109,129,60,12,0,7.9,8,1,0,0,0,0,0,8,0.0,0.0
12.165,106,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,271,869,700,462,106,128,60,12,0,7.9,8,1,0,0,0,0,0,8,0.0,0.0
12.280,107,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,273,833,700,450,124,112,60,12,0,8.1,8,1,0,0,0,0,0,8,0.0,0.0
12.395,108,-350,1170,8,-0.25,100,-0.5,80,-0.45,-0.4,271,854,700,446,112,116,60,12,0,8.4,8,1,0,0,0,0,0,8,0.0,0.0
12.509,109,-420,1170,0,-0.035,100,-0.069,80,-0.062,-0.055,880,834,700,460,119,104,0,0,0,8,8,0,2,0,0,0,50,8,0.0,-70.0
12.624,110,-420,1170,0,0.023,100,0.047,80,0.042,0.037,880,839,700,455,113,121,0,0,0,8.1,8,0,2,0,0,0,50,0,0.0,0.0
12.739,111,-420,1170,0,-0.013,100,-0.027,80,-0.024,-0.021,838,852,700,445,115,129,0,0,0,8.1,8,0,2,0,0,0,50,0,0.0,0.0
12.854,112,-420,1170,0,0.022,100,0.044,80,0.04,0.035,880,865,700,443,128,114,0,0,0,8.7,8,0,2,0,0,0,50,0,0.0,0.0
12.969,113,-420,1170,0,0.043,100,0.085,80,0.077,0.068,801,826,700,456,127,117,0,0,0,8.7,8,0,2,0,0,0,50,0,0.0,0.0
13.083,114,-420,1170,0,0.016,100,0.033,80,0.029,0.026,848,876,700,455,109,127,0,0,0,8.1,8,0,2,0,0,0,50,0,0.0,0.0
13.198,115,-420,1170,0,-0.022,100,-0.044,80,-0.04,-0.036,859,827,700,437,119,122,0,0,0,7.8,8,0,2,0,0,0,50,0,0.0,0.0
13.313,116,-420,1170,0,-0.004,100,-0.007,80,-0.006,-0.006,876,850,700,454,130,114,0,0,0,7.8,8,0,1,0,0,0,50,0,0.0,0.0
13.428,117,-420,1170,0,-0.004,100,-0.008,80,-0.007,-0.006,852,827,700,446,124,109,0,0,0,8.1,8,0,1,0,0,0,50,0,0.0,0.0
13.542,118,-420,1170,0,0.01,100,0.02,80,0.018,0.016,839,901,700,464,129,111,0,0,0,8.2,8,0,1,0,0,0,50,0,0.0,0.0
13.657,119,-420,1170,0,0.011,100,0.022,80,0.02,0.017,852,851,700,435,117,95,0,0,0,8.1,8,0,1,0,0,0,50,0,0.0,0.0
13.772,120,-420,1170,0,-0.018,100,-0.036,80,-0.033,-0.029,832,845,700,438,102,107,0,0,0,8.1,8,0,1,0,0,0,50,0,0.0,0.0
13.887,121,-420,1170,0,-0.024,100,-0.048,80,-0.044,-0.039,890,824,700,439,122,114,0,0,0,8.3,8,0,1,0,0,0,50,0,0.0,0.0
14.001,122,71.1,1720,2,0.025,100,0.05,80,0.045,0.04,894,855,700,454,117,126,0,0,0,8,8,0,0,0,0,0,0,0,550.0,491.1
14.116,123,82.3,1720,2,0.028,100,0.057,80,0.051,0.046,800,843,700,443,117,104,0,0,0,7.9,8,0,0,0,0,0,0,2,0.0,11.2
14.231,124,73.4,1720,2,0.032,100,0.064,80,0.057,0.051,879,822,700,458,111,111,0,0,0,7.8,8,0,0,0,0,0,0,2,0.0,-8.9
14.346,125,73.2,1720,2,0.035,100,0.071,80,0.064,0.057,841,822,700,432,127,111,0,0,0,7.7,8,0,0,0,0,0,0,2,0.0,-0.2
14.461,126,97.7,1720,2,0.039,100,0.078,80,0.07,0.062,879,821,700,444,110,116,0,0,0,8,8,0,0,0,0,0,0,2,0.0,24.5
14.575,127,93.7,1720,2,0.042,100,0.085,80,0.076,0.068,790,822,700,451,122,115,0,0,0,8,8,0,0,0,0,0,0,2,0.0,-4.0
14.690,128,300,1720,3,0.046,100,0.091,80,0.082,0.073,850,832,700,442,113,125,60,12,0,8,8,0,0,0,0,0,0,2,0.0,206.3
14.805,129,300,1720,3,0.049,100,0.098,80,0.088,0.079,901,908,700,470,127,120,60,12,0,8.1,8,0,0,0,0,0,0,3,0.0,0.0
14.920,130,300,1720,3,0.053,100,0.105,80,0.095,0.084,845,836,700,446,107,117,60,12,0,8,8,0,0,0,0,0,0,3,0.0,0.0
15.034,131,120.6,1720,2,0.056,100,0.112,80,0.101,0.09,876,859,700,450,118,114,0,0,0,8.1,8,0,0,0,0,0,0,3,0.0,-179.4
15.149,132,115.7,1720,2,0.059,100,0.119,80,0.107,0.095,884,851,700,444,121,110,0,0,0,7.9,8,0,0,0,0,0,0,2,0.0,-4.9
15.264,133,110.8,1720,2,0.063,100,0.126,80,0.113,0.101,793,832,700,458,126,104,0,0,0,7.9,8,0,0,0,0,0,0,2,0.0,-4.9
15.379,134,140.5,1720,2,0.066,100,0.133,80,0.119,0.106,858,850,700,460,121,121,0,0,0,8.6,8,0,0,0,0,0,0,2,0.0,29.7
15.493,135,129.6,1720,2,0.07,100,0.14,80,0.126,0.112,824,851,700,450,143,109,0,0,0,8.5,8,0,0,0,0,0,0,2,0.0,-10.9
15.608,136,500,1720,4,0.078,100,0.155,80,0.14,0.124,861,313,700,436,110,123,60,0,14,8.2,8,0,0,0,0,0,0,2,0.0,370.4
15.723,137,500,1720,4,0.081,100,0.161,80,0.145,0.129,841,328,700,447,101,106,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
15.838,138,500,1720,4,0.083,100,0.167,80,0.15,0.134,842,314,700,449,119,117,60,0,14,7.8,8,0,0,0,0,0,0,4,0.0,0.0
15.952,139,500,1720,4,0.086,100,0.173,80,0.155,0.138,829,323,700,457,115,127,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
16.067,140,500,1720,4,0.089,100,0.178,80,0.161,0.143,885,317,700,439,122,112,60,0,14,8.2,8,0,0,0,0,0,0,4,0.0,0.0
16.182,141,500,1720,4,0.092,100,0.184,80,0.166,0.147,828,333,700,449,118,109,60,0,14,8.4,8,0,0,0,0,0,0,4,0.0,0.0
16.297,142,500,1720,4,0.095,100,0.19,80,0.171,0.152,865,320,700,443,105,106,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
16.412,143,500,1720,4,0.098,100,0.196,80,0.176,0.156,812,339,700,444,116,120,60,0,14,7.9,8,0,0,0,0,0,0,4,0.0,0.0
16.526,144,500,1720,4,0.101,100,0.201,80,0.181,0.161,880,340,700,437,118,121,60,0,14,8.1,8,0,0,0,0,0,0,4,0.0,0.0
16.641,145,500,1720,4,0.104,100,0.207,80,0.186,0.166,841,342,700,451,129,128,60,0,14,8.2,8,0,0,0,0,0,0,4,0.0,0.0
16.756,146,500,1720,4,0.106,100,0.213,80,0.192,0.17,833,305,700,459,115,106,60,0,14,8.2,8,0,0,0,0,0,0,4,0.0,0.0
16.871,147,500,1720,4,0.109,100,0.219,80,0.197,0.175,819,326,700,456,115,108,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
16.985,148,500,1720,4,0.112,100,0.224,80,0.202,0.179,834,319,700,444,133,117,60,0,14,8.7,8,0,0,0,0,0,0,4,0.0,0.0
17.100,149,500,1720,4,0.115,100,0.23,80,0.207,0.184,872,325,700,445,125,123,60,0,14,8.5,8,0,0,0,0,0,0,4,0.0,0.0
17.215,150,500,1720,4,0.118,100,0.236,80,0.212,0.189,877,322,700,440,105,133,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
17.330,151,500,1720,4,0.121,100,0.241,80,0.217,0.193,865,335,700,448,120,119,60,0,14,8,8,0,0,0,0,0,0,4,0.0,0.0
17.444,152,500,1720,4,0.124,100,0.247,80,0.222,0.198,890,324,700,451,128,117,60,0,14,7.8,8,0,0,0,0,0,0,4,0.0,0.0
17.559,153,350,1720,9,0.25,100,0.5,80,0.45,0.4,878,277,700,429,112,120,60,0,14,7.9,8,1,0,0,0,0,0,4,0.0,-150.0
17.674,154,350,1720,9,0.25,100,0.5,80,0.45,0.4,856,287,700,450,117,101,60,0,14,8.3,8,1,0,0,0,0,0,9,0.0,0.0
17.789,155,350,1720,9,0.25,100,0.5,80,0.45,0.4,868,277,700,460,107,115,60,0,14,8,8,1,0,0,0,0,0,9,0.0,0.0
17.903,156,350,1720,9,0.25,100,0.5,80,0.45,0.4,860,261,700,450,112,104,60,0,14,7.7,8,1,0,0,0,0,0,9,0.0,0.0
18.018,157,350,1720,9,0.25,100,0.5,80,0.45,0.4,804,250,700,453,140,103,60,0,14,7.8,8,1,0,0,0,0,0,9,0.0,0.0
18.133,158,350,1720,9,0.25,100,0.5,80,0.45,0.4,845,291,700,440,106,121,60,0,14,7.7,8,1,0,0,0,0,0,9,0.0,0.0
18.248,159,350,1720,9,0.25,100,0.5,80,0.45,0.4,825,277,700,454,125,100,60,0,14,7.6,8,1,0,0,0,0,0,9,0.0,0.0
18.363,160,350,1720,9,0.25,100,0.5,80,0.45,0.4,836,267,700,462,98,144,60,0,14,7.9,8,1,0,0,0,0,0,9,0.0,0.0
18.477,161,350,1720,9,0.25,100,0.5,80,0.45,0.4,881,272,700,455,112,92,60,0,14,7.6,8,1,0,0,0,0,0,9,0.0,0.0
18.592,162,350,1720,9,0.25,100,0.5,80,0.45,0.4,895,288,700,462,119,105,60,0,14,8.1,8,1,0,0,0,0,0,9,0.0,0.0
18.707,163,350,1720,9,0.25,100,0.5,80,0.45,0.4,807,258,700,449,139,130,60,0,14,8,8,1,0,0,0,0,0,9,0.0,0.0
